entity_text,entity_type,source_url,confidence,sentence_context
Tiffany Chalier,ORG,https://inria.fr/en,0.9,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data"
d’orchestre de la Data,ORG,https://inria.fr/en,0.88,"Au cœur du Pôle universitaire d’innovation Bordeaux : Tiffany Chalier, cheffe d’orchestre de la Data"
Europe,LOC,https://ellis.eu,0.75,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
Leadership,FAC,https://ellis.eu,0.75,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
AI,GPE,https://ellis.eu,0.9500000000000001,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
pan-European,NORP,https://ellis.eu,0.7,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
AI,GPE,https://ellis.eu,0.9500000000000001,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
Europe,LOC,https://ellis.eu,0.75,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
AI,GPE,https://ellis.eu,0.9500000000000001,Strengthening Europe's Leadership in AI through Research Excellence ELLIS is a pan-European AI network of excellence which aims to secure lasting international leadership of AI made in Europe by connecting top researchers in this field and by creating a multi-centric AI research laboratory.
Numbers,ORG,https://ellis.eu,0.9,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
44,CARDINAL,https://ellis.eu,0.7,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
16,CARDINAL,https://ellis.eu,0.7,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
Cross-Border Research Programs  Fellows & Scholars,ORG,https://ellis.eu,0.93,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
17,CARDINAL,https://ellis.eu,0.7,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
Countries + PhD Students & Postdocs How ELLIS,ORG,https://ellis.eu,0.93,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
ELLIS PhD & Postdoc Program,ORG,https://ellis.eu,0.93,ELLIS by the Numbers + Members 44 Sites 16 Cross-Border Research Programs  Fellows & Scholars 17 Countries + PhD Students & Postdocs How ELLIS is making an impact ELLIS PhD & Postdoc Program
Europe,LOC,https://ellis.eu,0.75,"The ELLIS PhD & Postdoc Program pairs outstanding students with leading researchers across Europe in machine learning, AI and related fields, and offers international exchanges, joint supervision, and a vibrant research community."
AI,GPE,https://ellis.eu,0.9500000000000001,"The ELLIS PhD & Postdoc Program pairs outstanding students with leading researchers across Europe in machine learning, AI and related fields, and offers international exchanges, joint supervision, and a vibrant research community."
AI,GPE,https://ellis.eu,0.9500000000000001,"ELLIS Sites Serving as hubs for world-class AI research, the network of sites across Europe brings together top researchers and fosters collaboration."
Europe,LOC,https://ellis.eu,0.75,"ELLIS Sites Serving as hubs for world-class AI research, the network of sites across Europe brings together top researchers and fosters collaboration."
AI,GPE,https://ellis.eu,0.9500000000000001,"Sites can be composed of the local AI research institutions and universities, or be newly-created Institutes."
Institutes,ORG,https://ellis.eu,0.9,"Sites can be composed of the local AI research institutions and universities, or be newly-created Institutes."
ELLIS Programs ELLIS Programs,ORG,https://ellis.eu,0.93,"ELLIS Programs ELLIS Programs focus on advancing AI through theoretical foundations, algorithms, and applications (e.g., health, climate) and more."
AI,GPE,https://ellis.eu,0.9500000000000001,"ELLIS Programs ELLIS Programs focus on advancing AI through theoretical foundations, algorithms, and applications (e.g., health, climate) and more."
ELLIS Fellows,PERSON,https://ellis.eu,0.9500000000000001,"They are led by ELLIS Fellows and Scholars, outstanding researchers in their fields."
Scholars,PERSON,https://ellis.eu,0.9500000000000001,"They are led by ELLIS Fellows and Scholars, outstanding researchers in their fields."
Europe,LOC,https://ellis.eu,0.75,"""ELLIS is strengthening Europe’s leadership in artificial intelligence by connecting top researchers and institutions and fostering open, collaborative innovation."
AI,GPE,https://ellis.eu,0.9500000000000001,"By advancing cutting-edge AI made in Europe, ELLIS helps ensure that this transformative technology develops responsibly and benefits society as a whole."""
Europe,LOC,https://ellis.eu,0.75,"By advancing cutting-edge AI made in Europe, ELLIS helps ensure that this transformative technology develops responsibly and benefits society as a whole."""
ELLIS Fellow,WORK_OF_ART,https://ellis.eu,0.8,"ELLIS Fellow, Co-Founder & Former President of ELLIS"
Co-Founder & Former,ORG,https://ellis.eu,0.93,"ELLIS Fellow, Co-Founder & Former President of ELLIS"
The Fortieth Annual Conference on Neural Information Processing Systems Latest Announcements Stay,ORG,https://neurips.cc,0.93,NeurIPS  The Fortieth Annual Conference on Neural Information Processing Systems Latest Announcements Stay updated with conference news - More information on NeurIPS  will be available soon.
year,DATE,https://neurips.cc,0.95,Organizing Committee Meet the team planning and executing this year's conference Mission Statement
Mission Statement,ORG,https://neurips.cc,0.9,Organizing Committee Meet the team planning and executing this year's conference Mission Statement
Artificial Intelligence and Machine Learning,ORG,https://neurips.cc,0.93,"The Neural Information Processing Systems Foundation is a non-profit corporation whose purpose is to foster the exchange of research advances in Artificial Intelligence and Machine Learning, principally by hosting an annual interdisciplinary academic conference with the highest ethical standards for a diverse and inclusive community."
annual,DATE,https://neurips.cc,0.95,"The Neural Information Processing Systems Foundation is a non-profit corporation whose purpose is to foster the exchange of research advances in Artificial Intelligence and Machine Learning, principally by hosting an annual interdisciplinary academic conference with the highest ethical standards for a diverse and inclusive community."
annual,DATE,https://neurips.cc,0.95,"The conference was founded in  and is now a multi-track interdisciplinary annual meeting that includes invited talks, demonstrations, symposia, and oral and poster presentations of refereed papers."
symposia,PERSON,https://neurips.cc,0.9,"The conference was founded in  and is now a multi-track interdisciplinary annual meeting that includes invited talks, demonstrations, symposia, and oral and poster presentations of refereed papers."
the Neural Information Processing Systems,ORG,https://neurips.cc,0.88,More about the Neural Information Processing Systems foundation
